dt,type_sma,price_sma,portfolio_value_sma,dt_sma,type_ema,price_ema,portfolio_value_ema,dt_ema,type_bbands,price_bbands,portfolio_value_bbands,dt_bbands
2017-05-13,buy,296.6666666666667,100000.0,2017-05-13,,,,,,,,
2017-05-24,sell,244.69230769230768,82536.61538461538,2017-05-24,,,,,,,,
2017-08-22,buy,204.05464961067847,84232.41320224361,2017-08-22,,,,,,,,
2017-09-28,sell,229.5185869094061,92824.04605330134,2017-09-28,,,,,,,,
2017-09-30,buy,245.0972003353596,91925.66421530524,2017-09-30,,,,,,,,
2017-10-02,sell,239.97430830039525,90887.5928640848,2017-10-02,,,,,,,,
2017-10-03,buy,254.66955684007704,93451.42406597766,2017-10-03,,,,,,,,
2017-10-24,sell,265.1154929577465,94606.34612197512,2017-10-24,,,,,,,,
2017-10-27,buy,272.3765586034912,97259.81592075696,2017-10-27,,,,,,,,
2018-03-24,sell,245.41129032258067,85276.36329678008,2018-03-24,,,,,,,,
2018-04-23,buy,201.21468880420977,86159.37820702762,2018-04-23,,,,,,,,
2018-07-08,sell,354.8903667887498,150281.1750842405,2018-07-08,,,,,,,,
2018-07-12,buy,364.2440820075294,150516.51986198672,2018-07-12,,,,,,,,
2018-08-08,sell,374.1829464312412,154375.98722680972,2018-08-08,,,,,,,,
2018-08-10,buy,378.57146575346985,154801.22028230544,2018-08-10,,,,,,,,
2018-08-17,sell,376.2278145817439,153422.12119991728,2018-08-17,,,,,,,,
2018-12-04,buy,112.09147265043114,162366.47614336715,2018-12-04,,,,,,,,
2019-02-16,sell,310.61565030010445,424804.6720470208,2019-02-16,,,,,,,,
2019-02-18,buy,323.63899613899616,416808.11313342734,2019-02-18,,,,,,,,
2019-02-19,sell,317.5394088669951,416808.11313342734,2019-02-19,,,,,,,,
2019-02-20,buy,322.79133038380155,414855.91822163074,2019-02-20,,,,,,,,
2019-02-22,sell,313.1425364758698,404370.8177861033,2019-02-22,,,,,,,,
2019-03-23,buy,262.6080144070976,407197.269774603,2019-03-23,,,,,,,,
2019-04-16,sell,261.3615821586166,402453.80498793954,2019-04-16,,,,,,,,
2019-06-04,buy,229.4784862629896,416233.9516901414,2019-06-04,,,,,,,,
2019-06-19,sell,217.0407814562008,380662.9461664456,2019-06-19,,,,,,,,
2019-07-27,buy,195.63462110380297,383125.7543812906,2019-07-27,,,,,,,,
2019-08-10,sell,196.715167342696,382762.44750861474,2019-08-10,,,,,,,,
2019-09-12,buy,180.330848114358,376073.8914959956,2019-09-12,,,,,,,,
2019-09-13,sell,177.17586886312256,376073.8914959956,2019-09-13,,,,,,,,
2019-09-26,buy,169.45498019776926,378173.566192531,2019-09-26,,,,,,,,
2019-11-02,sell,206.8818181818181,459049.191306632,2019-11-02,,,,,,,,
2019-11-12,buy,220.9138576779026,465409.0448804358,2019-11-12,,,,,,,,
2019-11-26,sell,204.72934220251287,425466.3216951983,2019-11-26,,,,,,,,
2019-12-12,buy,202.08797653958945,428330.57005973696,2019-12-12,,,,,,,,
2019-12-18,sell,195.64919354838707,411925.56106469966,2019-12-18,,,,,,,,
2019-12-24,buy,195.85813755233343,414215.1269917801,2019-12-24,,,,,,,,
2020-01-07,sell,214.22961988294315,450524.0454413107,2020-01-07,,,,,,,,
2020-01-15,buy,217.08634401706087,452762.6855634763,2020-01-15,,,,,,,,
2020-01-17,sell,214.5896824245127,445348.4659599583,2020-01-17,,,,,,,,
2020-03-10,buy,130.4435810012872,470906.3496292474,2020-03-10,,,,,,,,
2020-03-16,sell,125.21140009943844,427506.729084654,2020-03-16,,,,,,,,
2020-04-15,buy,82.56482429771819,431188.3380201392,2020-04-15,,,,,,,,
2020-04-21,sell,74.7105233718408,386884.2846960161,2020-04-21,,,,,,,,
2020-04-26,buy,75.25094293070154,389374.94534394576,2020-04-26,,,,,,,,
2020-05-07,sell,78.4403566560654,403265.11358948494,2020-05-07,,,,,,,,
2020-05-09,buy,79.49058378291843,403668.6674035419,2020-05-09,,,,,,,,
2020-06-23,sell,108.51436431156264,550357.6333086537,2020-06-23,,,,,,,,
2020-07-25,buy,101.13361122528764,551887.5009890716,2020-07-25,,,,,,,,
2020-08-06,sell,102.58595816072456,558252.5912496889,2020-08-06,,,,,,,,
2020-08-31,buy,93.95849422092682,581468.6424754896,2020-08-31,,,,,,,,
2020-09-21,sell,93.86009795465591,557668.609409371,2020-09-21,,,,,,,,
2020-09-22,buy,107.3523538259236,615205.9625095801,2020-09-22,,,,,,,,
2020-10-21,sell,157.14810659186534,816058.7705118428,2020-10-21,,,,,,,,
2020-10-22,buy,189.00636518325783,858789.7092749021,2020-10-22,,,,,,,,
2020-11-28,sell,277.0420119816248,1195756.5151531994,2020-11-28,,,,,,,,
2020-12-24,buy,218.0982708666895,1192095.0393647947,2020-12-24,,,,,,,,
2020-12-31,sell,196.65985005093376,1078338.2843453053,2020-12-31,,,,,,,,
2021-01-12,buy,212.50474516419845,1160569.7587014094,2021-01-12,,,,,,,,
2021-01-19,sell,200.91362468002967,1019582.894611054,2021-01-19,,,,,,,,
2021-03-13,buy,133.4107685028322,1041758.691066684,2021-03-13,,,,,,,,
2021-06-21,sell,518.9788231985797,3963009.424158391,2021-06-21,,,,,,,,
2021-06-24,buy,527.5791904155294,3969922.3751140432,2021-06-24,,,,,,,,
2021-07-03,sell,525.5639989096265,3947887.427098096,2021-07-03,,,,,,,,
2021-07-16,buy,521.176601680026,3948178.458013292,2021-07-16,,,,,,,,
2021-08-18,sell,539.2987558918705,4085017.768019123,2021-08-18,,,,,,,,
2021-11-01,buy,264.3630312639755,4182389.800512976,2021-11-01,,,,,,,,
2021-11-04,sell,243.2494401913876,3759108.3762226566,2021-11-04,,,,,,,,
2021-12-06,buy,203.54975343154192,4640249.816119186,2021-12-06,,,,,,,,
2021-12-15,sell,205.3710252907036,3792709.020752331,2021-12-15,,,,,,,,
2022-02-23,buy,92.00691339232276,3762471.822732971,2022-02-23,,,,,,,,
2022-03-22,sell,91.85230580642192,3786342.2803649344,2022-03-22,,,,,,,,
2022-04-13,buy,88.59647564469914,3884034.21572851,2022-04-13,,,,,,,,
2022-05-26,sell,110.799521022877,4734279.09974086,2022-05-26,,,,,,,,
2022-07-06,buy,90.14780654649974,4697495.341152415,2022-07-06,,,,,,,,
2022-08-11,sell,103.5506114325116,5437443.8552805865,2022-08-11,,,,,,,,
2022-10-21,buy,62.60728527607368,5461527.97113503,2022-10-21,,,,,,,,
2022-12-05,sell,65.07373570774146,5651440.494083378,2022-12-05,,,,,,,,
2022-12-06,buy,65.23879769121811,5658417.685584527,2022-12-06,,,,,,,,
2023-01-07,sell,69.7437410257671,6041298.290255248,2023-01-07,,,,,,,,
2023-02-01,buy,69.96959677419355,6043920.720497184,2023-02-01,,,,,,,,
2023-02-07,sell,69.26071428571429,5980153.631211469,2023-02-07,,,,,,,,
2023-02-12,buy,69.64464285714286,5985821.238354326,2023-02-12,,,,,,,,
2023-02-19,sell,68.4956043956044,5881589.111980701,2023-02-19,,,,,,,,
2023-03-05,buy,69.04,5881589.111980701,2023-03-05,,,,,,,,
2023-03-10,sell,68.84327956989247,5864847.219776399,2023-03-10,,,,,,,,
2023-03-11,buy,68.91039426523297,5864420.581066722,2023-03-11,,,,,,,,
2023-04-01,sell,69.14786183394308,5885037.424870839,2023-04-01,,,,,,,,
2023-04-06,buy,69.90777777777778,5870571.031214018,2023-04-06,,,,,,,,
2023-04-17,sell,69.45,5846539.229315284,2023-04-17,,,,,,,,
2023-04-25,buy,69.47666666666667,5846819.452648616,2023-04-25,,,,,,,,
2023-05-03,sell,69.49032258064517,5847687.241035714,2023-05-03,,,,,,,,
2023-05-10,buy,69.51032258064515,5847795.682326037,2023-05-10,,,,,,,,
2023-05-29,sell,69.68967741935484,5862760.580390553,2023-05-29,,,,,,,,
2023-06-07,buy,69.78333333333335,5866845.125057219,2023-06-07,,,,,,,,
2023-08-18,sell,71.29677419354837,5989782.15834754,2023-08-18,,,,,,,,
2023-08-30,buy,72.57157258064517,5998808.767016895,2023-08-30,,,,,,,,
2023-09-06,sell,69.26333333333334,5717007.907688937,2023-09-06,,,,,,,,
2023-09-27,buy,73.22380952380952,5887955.148589133,2023-09-27,,,,,,,,
2023-10-17,sell,74.15159425694574,5789372.333519363,2023-10-17,,,,,,,,
2023-11-09,buy,77.0,5781360.493519363,2023-11-09,,,,,,,,
2023-11-29,sell,75.78892405063291,5698407.207886452,2023-11-29,,,,,,,,
2023-12-19,buy,74.25785639958377,5496082.32876625,2023-12-19,,,,,,,,
2023-12-20,sell,71.61864116471595,5496082.32876625,2023-12-20,,,,,,,,
2024-02-06,buy,67.290095377843,5757139.110897799,2024-02-06,,,,,,,,
2024-02-27,sell,70.11891700316649,5726900.02928452,2024-02-27,,,,,,,,
2024-02-28,buy,78.58379725323584,5762174.875685759,2024-02-28,,,,,,,,
2024-03-21,sell,77.76666912943821,5667410.650487681,2024-03-21,,,,,,,,
2024-03-28,buy,84.39715331256107,5660122.703208608,2024-03-28,,,,,,,,
2024-03-29,sell,84.28851418431778,5660122.703208608,2024-03-29,,,,,,,,
2024-03-30,buy,84.61827584864577,5709236.0620763535,2024-03-30,,,,,,,,
2024-04-02,sell,77.0830072463768,5156593.449399188,2024-04-02,,,,,,,,
2024-05-05,buy,67.66822961888012,5160168.450408901,2024-05-05,,,,,,,,
2024-07-10,sell,178.22280885278352,13572781.902738553,2024-07-10,,,,,,,,
2024-07-15,buy,191.78405253128497,14093550.356839316,2024-07-15,,,,,,,,
2024-07-18,sell,190.34563117681955,13471085.512977848,2024-07-18,,,,,,,,
2024-08-06,buy,185.92286973853504,13967733.941191612,2024-08-06,,,,,,,,
2024-09-15,sell,252.12481305873203,18262914.574380346,2024-09-15,,,,,,,,
2024-09-17,buy,271.2292768382637,20096997.37214503,2024-09-17,,,,,,,,
2024-10-05,sell,297.44990169744773,20026671.12615821,2024-10-05,,,,,,,,
